一级模块,二级模块,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月
功能,搜索,55.22,57.83,55.46,53.59,45.78,43.33,42.94,48.21,51.62,49.97,53.59
,拍照答疑,null,null,null,null,null,null,null,null,3.01,8.05,9.26
真题试卷,刷真题,43.87,58.11,54.63,58.72,53.65,52.17,52.54,56.35,57.84,55.04,58.11
同步,单元卷,11.44,11.19,10.34,7.88,11.46,13.56,22.27,17.05,11.1,10.91,6.66
,练习,7.16,8.31,7.62,6.9,10.48,11.34,16.55,16.51,13.52,12.73,9.66
,同步学,6.46,7.03,6.41,6.94,14.28,14.45,21.05,14.14,11.86,10.46,7.27
,视频,9.79,9.67,9.54,8.88,13.48,13.48,13.95,11.64,9.72,9.02,7.53
,知识清单,5.97,7.24,7.27,6.05,6.85,6.84,8.36,7.41,6.08,5.73,4.65
,寒暑假,1.36,1.63,1.68,4.71,12.54,10.11,2.85,2.3,2.72,3.31,5.38
,特色内容,null,null,0,0.29,1.66,5.6,6.93,7.18,5.94,5.52,4.54
备考,阶段复习,6.57,18.47,12.66,18.74,12.48,8.18,8.35,16.2,22.48,16.89,21.06
,升学备考,10.03,12.5,13.88,12.73,8.67,10.18,9.11,7.77,7.26,6.3,5.78
,推广图,null,null,null,null,null,null,2.05,0.61,9.88,12.68,8.62
,学考,null,null,0,1.73,2.9,2.94,3.06,2.53,2.16,2.75,1.81
